Product_ID,Product_Name,Category,Brand,Average_Price,SPF_Rating,Skin_Type,Hair_Type,Age_Group,Gender,Popularity_Rating,Usage_Frequency,Primary_Ingredient,Fragrance_Type,Waterproof,Organic,Paraben_Free,Summer_Essential_Score,Region_Usage,Online_Availability
P00001,Sunscreen,Bodycare,Ponds,439.7,15,Normal,,Teen,Male,1,Occasional,Charcoal,Floral,No,Yes,No,2,Pan-India,Myntra
P00002,Lip Balm,Bodycare,Dove,178.55,30,Normal,Wavy,Teen,Female,4,Weekly,Coconut Oil,Floral,No,Yes,No,7,East,Flipkart
P00003,Lip Balm,Skincare,Ponds,600.27,50,Oily,Coily,Senior,Female,3,Weekly,Vitamin C,Citrus,Yes,Yes,Yes,5,North,Nykaa
P00004,Body Lotion,Skincare,L'Oréal,749.37,0,Dry,Coily,Adult,Unisex,4,Daily,Tea Tree,Citrus,Yes,Yes,Yes,6,Pan-India,Myntra
P00005,Toner,Makeup,Biotique,1331.89,30,Oily,,Teen,Female,2,Daily,Aloe Vera,Fruity,No,Yes,Yes,5,West,Nykaa
P00006,Shampoo,Makeup,Neutrogena,1132.57,30,Normal,Wavy,Senior,Unisex,3,Daily,Rose Water,Floral,Yes,No,No,10,Pan-India,Myntra
P00007,Lip Balm,Skincare,Garnier,1466.04,30,Normal,,Adult,Unisex,5,Occasional,Tea Tree,Floral,No,Yes,Yes,5,North,Myntra
P00008,Sunscreen,Skincare,Biotique,605.23,30,Sensitive,Coily,Teen,Female,1,Occasional,Tea Tree,Floral,No,No,No,10,Pan-India,Flipkart
P00009,Moisturizer,Bodycare,Dove,57.07,30,Normal,,Senior,Unisex,3,Occasional,Vitamin C,Citrus,No,No,Yes,7,North,Myntra
P00010,Serum,Bodycare,Himalaya,717.79,30,Normal,Curly,Senior,Female,1,Weekly,Aloe Vera,Unscented,Yes,No,Yes,5,West,Amazon
P00011,Body Lotion,Bodycare,Dove,1427.91,30,Normal,,Adult,Female,5,Occasional,Charcoal,Citrus,No,No,Yes,3,South,Amazon
P00012,Deodorant,Fragrance,L'Oréal,615.27,15,Dry,Curly,Teen,Female,2,Weekly,Vitamin C,Woody,Yes,Yes,Yes,1,East,Myntra
P00013,Moisturizer,Skincare,Biotique,102.92,0,Dry,,Adult,Female,2,Occasional,Aloe Vera,Floral,No,Yes,No,5,South,Nykaa
P00014,Face Wash,Makeup,Garnier,292.52,15,Dry,,Senior,Male,1,Occasional,Charcoal,Unscented,No,No,Yes,2,South,Brand Website
P00015,Moisturizer,Makeup,Mamaearth,1455.79,30,Normal,Coily,Senior,Unisex,5,Occasional,Charcoal,Fruity,Yes,No,Yes,4,South,Nykaa
P00016,Toner,Fragrance,Garnier,472.6,50,Combination,Straight,Senior,Male,3,Occasional,Coconut Oil,Citrus,Yes,No,Yes,10,Pan-India,Myntra
P00017,Lip Balm,Makeup,Garnier,124.11,30,Sensitive,,Adult,Unisex,1,Daily,Vitamin C,Floral,Yes,Yes,Yes,1,Pan-India,Myntra
P00018,Body Lotion,Skincare,Nivea,1019.3,0,Oily,Straight,Teen,Male,3,Occasional,Charcoal,Woody,No,No,Yes,7,Pan-India,Myntra
P00019,Sunscreen,Haircare,Nivea,1195.98,0,Dry,Straight,Teen,Unisex,3,Occasional,Charcoal,Fruity,Yes,Yes,Yes,9,West,Flipkart
P00020,Shampoo,Fragrance,Ponds,692.96,15,Dry,,Senior,Unisex,2,Occasional,Tea Tree,Fruity,No,No,No,6,East,Brand Website
P00021,Lip Balm,Haircare,Neutrogena,1411.58,30,Dry,,Teen,Male,5,Daily,Tea Tree,Fruity,Yes,Yes,No,9,South,Amazon
P00022,Deodorant,Makeup,Lakmé,70.94,0,Dry,,Teen,Unisex,1,Weekly,Vitamin C,Floral,No,No,Yes,10,West,Brand Website
P00023,Lip Balm,Haircare,Neutrogena,68.89,15,Sensitive,,Senior,Male,4,Weekly,Aloe Vera,Citrus,No,Yes,Yes,9,North,Brand Website
P00024,Shampoo,Fragrance,Nivea,153.8,0,Oily,Curly,Adult,Unisex,3,Occasional,Aloe Vera,Unscented,Yes,No,Yes,3,West,Amazon
P00025,Sunscreen,Haircare,Mamaearth,1263.45,15,Combination,,Teen,Unisex,2,Weekly,Aloe Vera,Fruity,Yes,Yes,No,3,North,Myntra
P00026,Serum,Haircare,Mamaearth,114.37,30,Dry,,Senior,Unisex,2,Weekly,Aloe Vera,Floral,No,Yes,No,10,East,Myntra
P00027,Conditioner,Fragrance,L'Oréal,470.96,15,Dry,Curly,Teen,Unisex,1,Daily,Rose Water,Fruity,No,Yes,Yes,10,South,Nykaa
P00028,Toner,Haircare,Garnier,960.84,0,Oily,,Teen,Male,4,Occasional,Vitamin C,Floral,No,No,Yes,10,Pan-India,Amazon
P00029,Face Wash,Haircare,Ponds,382.53,50,Sensitive,,Teen,Male,3,Daily,Charcoal,Woody,No,No,Yes,3,North,Myntra
P00030,Toner,Haircare,Neutrogena,450.29,0,Normal,Coily,Adult,Male,5,Weekly,Charcoal,Woody,No,Yes,Yes,5,West,Myntra
P00031,Moisturizer,Fragrance,Biotique,321.05,50,Sensitive,,Senior,Female,4,Weekly,Rose Water,Woody,No,Yes,Yes,8,East,Nykaa
P00032,Shampoo,Skincare,Biotique,1093.33,30,Sensitive,,Teen,Unisex,3,Occasional,Aloe Vera,Floral,No,Yes,No,1,West,Amazon
P00033,Serum,Skincare,Ponds,377.37,15,Normal,,Adult,Unisex,5,Daily,Charcoal,Woody,Yes,Yes,No,2,South,Nykaa
P00034,Toner,Skincare,Himalaya,98.86,15,Combination,,Adult,Male,4,Occasional,Charcoal,Unscented,No,Yes,Yes,2,North,Brand Website
P00035,Face Wash,Makeup,Dove,1385.79,50,Normal,Coily,Teen,Unisex,1,Daily,Aloe Vera,Woody,No,No,Yes,4,West,Myntra
P00036,Sunscreen,Bodycare,Nivea,1394.58,50,Combination,Curly,Senior,Female,5,Daily,Vitamin C,Fruity,Yes,Yes,No,7,South,Myntra
P00037,Conditioner,Bodycare,L'Oréal,1220.12,50,Normal,,Adult,Female,2,Occasional,Tea Tree,Citrus,Yes,Yes,No,4,East,Flipkart
P00038,Toner,Skincare,Mamaearth,1043.57,30,Dry,Straight,Adult,Unisex,2,Weekly,Vitamin C,Unscented,No,Yes,No,7,Pan-India,Amazon
P00039,Sunscreen,Fragrance,Nivea,1277.88,50,Oily,,Teen,Unisex,5,Weekly,Tea Tree,Unscented,Yes,No,No,4,South,Flipkart
P00040,Face Wash,Haircare,L'Oréal,843.94,50,Oily,,Senior,Unisex,1,Occasional,Charcoal,Fruity,Yes,No,No,4,West,Myntra
P00041,Sunscreen,Bodycare,L'Oréal,546.34,30,Normal,Straight,Teen,Unisex,3,Weekly,Rose Water,Citrus,No,No,Yes,1,West,Myntra
P00042,Moisturizer,Haircare,Nivea,1438.47,50,Combination,Curly,Senior,Male,4,Occasional,Charcoal,Floral,Yes,No,Yes,4,West,Brand Website
P00043,Serum,Haircare,L'Oréal,946.68,15,Oily,Straight,Adult,Unisex,1,Daily,Aloe Vera,Floral,No,Yes,Yes,2,West,Nykaa
P00044,Conditioner,Haircare,Dove,487.37,0,Combination,,Adult,Female,5,Daily,Rose Water,Unscented,Yes,Yes,Yes,7,South,Nykaa
P00045,Toner,Haircare,Garnier,709.99,30,Oily,,Teen,Unisex,2,Weekly,Charcoal,Citrus,Yes,No,No,7,East,Flipkart
P00046,Sunscreen,Haircare,L'Oréal,1372.97,15,Sensitive,,Senior,Male,2,Daily,Aloe Vera,Fruity,Yes,Yes,No,10,Pan-India,Myntra
P00047,Moisturizer,Fragrance,Garnier,1359.5,15,Oily,,Senior,Male,4,Daily,Rose Water,Fruity,No,No,Yes,1,West,Flipkart
P00048,Body Lotion,Makeup,Dove,1201.64,15,Oily,Wavy,Teen,Female,4,Weekly,Charcoal,Fruity,No,No,No,10,West,Myntra
P00049,Sunscreen,Haircare,Lakmé,927.54,50,Dry,Curly,Teen,Male,4,Weekly,Coconut Oil,Fruity,Yes,Yes,No,1,West,Brand Website
P00050,Toner,Fragrance,Mamaearth,1111.79,15,Sensitive,Straight,Adult,Female,5,Daily,Coconut Oil,Citrus,Yes,Yes,Yes,3,North,Brand Website
P00051,Body Lotion,Makeup,Ponds,300.52,50,Combination,Curly,Teen,Female,5,Occasional,Coconut Oil,Fruity,Yes,Yes,Yes,9,West,Flipkart
P00052,Shampoo,Bodycare,L'Oréal,1370.1,50,Combination,Straight,Adult,Female,5,Occasional,Tea Tree,Unscented,Yes,No,Yes,10,East,Nykaa
P00053,Serum,Makeup,Nivea,1317.47,50,Oily,Curly,Senior,Male,2,Weekly,Aloe Vera,Fruity,Yes,No,No,6,Pan-India,Nykaa
P00054,Moisturizer,Skincare,Garnier,396.44,50,Combination,,Senior,Unisex,2,Weekly,Charcoal,Woody,Yes,Yes,Yes,2,Pan-India,Nykaa
P00055,Body Lotion,Fragrance,Mamaearth,1008.78,0,Oily,Coily,Senior,Male,2,Weekly,Tea Tree,Citrus,Yes,No,No,6,Pan-India,Nykaa
P00056,Toner,Makeup,Neutrogena,1204.79,30,Oily,,Senior,Male,2,Daily,Vitamin C,Citrus,Yes,No,No,3,North,Nykaa
P00057,Body Lotion,Skincare,Himalaya,289.23,0,Oily,,Teen,Female,3,Daily,Coconut Oil,Woody,Yes,No,Yes,10,West,Amazon
P00058,Sunscreen,Bodycare,Lakmé,357.41,0,Sensitive,Coily,Senior,Unisex,4,Weekly,Aloe Vera,Floral,No,Yes,Yes,6,Pan-India,Amazon
P00059,Lip Balm,Skincare,Mamaearth,944.49,0,Sensitive,,Senior,Female,4,Occasional,Rose Water,Citrus,No,Yes,No,1,West,Myntra
P00060,Moisturizer,Haircare,Himalaya,928.49,0,Sensitive,,Senior,Female,5,Daily,Tea Tree,Unscented,Yes,No,Yes,6,Pan-India,Brand Website
P00061,Conditioner,Skincare,Ponds,863.34,30,Normal,,Teen,Male,2,Occasional,Tea Tree,Unscented,No,No,No,4,West,Myntra
P00062,Deodorant,Skincare,Dove,353.55,50,Normal,Curly,Senior,Female,5,Weekly,Tea Tree,Fruity,Yes,No,No,10,North,Brand Website
P00063,Body Lotion,Haircare,Garnier,1482.69,50,Sensitive,Wavy,Teen,Female,1,Weekly,Coconut Oil,Woody,Yes,No,No,7,South,Nykaa
P00064,Conditioner,Haircare,Lakmé,849.21,15,Dry,Straight,Senior,Female,4,Occasional,Coconut Oil,Unscented,Yes,Yes,No,2,South,Myntra
P00065,Lip Balm,Fragrance,Biotique,790.58,30,Sensitive,,Teen,Unisex,4,Occasional,Tea Tree,Fruity,No,Yes,Yes,2,North,Brand Website
P00066,Conditioner,Bodycare,Himalaya,1406.17,30,Combination,Wavy,Teen,Female,5,Daily,Aloe Vera,Woody,No,Yes,No,3,Pan-India,Myntra
P00067,Moisturizer,Skincare,Biotique,1341.69,0,Normal,,Adult,Male,5,Weekly,Rose Water,Floral,No,No,Yes,1,East,Myntra
P00068,Toner,Makeup,Mamaearth,553.7,30,Combination,,Senior,Female,3,Daily,Charcoal,Floral,Yes,Yes,Yes,8,North,Myntra
P00069,Shampoo,Fragrance,L'Oréal,680.37,0,Combination,Curly,Senior,Female,1,Occasional,Coconut Oil,Citrus,No,No,No,7,East,Amazon
P00070,Body Lotion,Haircare,Mamaearth,480.81,30,Oily,,Senior,Unisex,4,Occasional,Vitamin C,Unscented,Yes,No,No,2,South,Nykaa
P00071,Deodorant,Makeup,L'Oréal,222.66,0,Normal,Straight,Senior,Male,1,Daily,Charcoal,Floral,No,Yes,Yes,5,North,Myntra
P00072,Body Lotion,Makeup,Biotique,686.04,50,Oily,,Senior,Unisex,4,Occasional,Charcoal,Unscented,No,Yes,Yes,8,West,Nykaa
P00073,Lip Balm,Haircare,Ponds,1407.16,15,Combination,,Teen,Female,4,Weekly,Vitamin C,Fruity,No,Yes,No,7,South,Amazon
P00074,Deodorant,Haircare,Nivea,988.18,30,Dry,,Senior,Male,2,Weekly,Charcoal,Fruity,Yes,No,No,5,North,Myntra
P00075,Conditioner,Skincare,Nivea,607.23,50,Combination,,Adult,Male,3,Daily,Rose Water,Fruity,No,Yes,No,4,Pan-India,Myntra
P00076,Sunscreen,Bodycare,Ponds,1464.79,15,Dry,Wavy,Senior,Female,3,Daily,Charcoal,Unscented,No,No,No,7,West,Myntra
P00077,Face Wash,Fragrance,L'Oréal,299.4,50,Combination,,Teen,Female,2,Daily,Vitamin C,Floral,No,Yes,No,3,Pan-India,Flipkart
P00078,Face Wash,Skincare,Mamaearth,953.04,30,Sensitive,Straight,Teen,Male,3,Occasional,Coconut Oil,Woody,Yes,No,Yes,6,Pan-India,Brand Website
P00079,Toner,Haircare,Nivea,406.69,15,Combination,Curly,Senior,Unisex,1,Weekly,Tea Tree,Woody,Yes,No,Yes,7,North,Amazon
P00080,Deodorant,Bodycare,Lakmé,1255.59,50,Oily,,Senior,Female,1,Daily,Charcoal,Floral,No,Yes,No,6,Pan-India,Nykaa
P00081,Sunscreen,Makeup,L'Oréal,899.74,30,Combination,,Senior,Unisex,4,Daily,Coconut Oil,Floral,No,Yes,Yes,5,North,Flipkart
P00082,Sunscreen,Haircare,Biotique,1256.16,30,Dry,Straight,Senior,Unisex,1,Weekly,Aloe Vera,Citrus,Yes,Yes,Yes,5,North,Myntra
P00083,Shampoo,Haircare,Lakmé,1157.98,30,Normal,Curly,Senior,Female,2,Daily,Vitamin C,Fruity,Yes,No,Yes,10,North,Nykaa
P00084,Conditioner,Haircare,Neutrogena,1202.83,0,Normal,Coily,Adult,Male,1,Occasional,Charcoal,Citrus,Yes,No,No,7,Pan-India,Myntra
P00085,Moisturizer,Haircare,Garnier,1148.83,30,Sensitive,Wavy,Adult,Male,2,Daily,Charcoal,Floral,Yes,Yes,No,4,South,Flipkart
P00086,Body Lotion,Haircare,Nivea,793,50,Sensitive,,Adult,Unisex,3,Daily,Rose Water,Unscented,Yes,Yes,Yes,1,South,Brand Website
P00087,Moisturizer,Haircare,Ponds,1398.23,30,Dry,Wavy,Teen,Female,2,Daily,Coconut Oil,Woody,Yes,No,No,3,West,Brand Website
P00088,Conditioner,Fragrance,L'Oréal,543.47,0,Normal,,Senior,Female,3,Daily,Vitamin C,Fruity,Yes,Yes,No,9,West,Brand Website
P00089,Moisturizer,Makeup,Neutrogena,1261.48,50,Oily,,Adult,Male,3,Daily,Coconut Oil,Woody,Yes,No,No,5,West,Flipkart
P00090,Shampoo,Haircare,Lakmé,603.4,0,Sensitive,,Senior,Female,4,Weekly,Charcoal,Floral,Yes,Yes,Yes,4,East,Brand Website
P00091,Conditioner,Haircare,Mamaearth,1084.79,0,Combination,Wavy,Teen,Unisex,1,Occasional,Rose Water,Woody,No,No,No,3,North,Amazon
P00092,Toner,Haircare,Neutrogena,859.67,0,Combination,Coily,Adult,Male,1,Daily,Vitamin C,Floral,Yes,Yes,No,9,West,Amazon
P00093,Shampoo,Skincare,Nivea,1409.32,15,Combination,,Adult,Male,4,Occasional,Tea Tree,Citrus,Yes,Yes,No,2,North,Amazon
P00094,Shampoo,Skincare,Mamaearth,167.03,50,Oily,Coily,Senior,Male,1,Daily,Vitamin C,Fruity,No,No,Yes,8,Pan-India,Flipkart
